date,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-07-10,0.0,0.0,79.13818686349052,0.1619629924123153,0.0035736797941925,0,0.0,3.0,7.4,1
2022-07-11,0.0013859176284753,0.0013849581310595,79.19257245744977,0.1521327866468746,-0.0004662127900912,0,0.0,4.0,7.4,1
2022-07-12,0.0018454288633769,0.0018437281515723,79.26947239467076,0.1383104931302304,0.0054893410918182,0,0.0,5.0,7.4,0
2022-07-13,-1.7566908321997587e-05,-1.7567062621938637e-05,79.28490121023995,0.1560692210550005,0.0032162803862271,0,0.0,6.0,7.4,1
2022-07-14,0.00416602229539,0.0041573684509209,79.39398738316127,0.2152044057673734,0.0073957017774145,1,0.00416602229539,7.0,7.4,1
2022-07-15,0.0008871444264435,0.0008867511464071,79.48780168805804,0.2649262913412388,0.0082894072594694,0,0.0,1.0,7.4,0
2022-07-16,0.0,0.0,79.5816159929548,0.2711512269657101,0.0068939352046643,0,0.0,2.0,7.4,0
2022-07-17,0.0,0.0,79.67543029785156,0.237326948291275,0.0050392068435299,0,0.0,3.0,7.4,0
2022-07-18,-0.0019755852279635,-0.0019775392704692,79.73101588657924,0.1825691572909254,0.0030712870943064,0,0.0,4.0,7.4,1
2022-07-19,0.0038860670151807,0.0038785357617557,79.80994415283203,0.1740837929197106,0.0027916370195044,1,0.0038860670151807,5.0,7.4,0
2022-07-20,-0.0021790835246394,-0.0021814611818468,79.8641586303711,0.0932010628742693,-0.0002804253640157,0,0.0,1.0,7.4,1
2022-07-21,0.0018470654989317,0.0018453617710618,79.89214433942523,0.1023191525565153,0.0015661221709011,0,0.0,2.0,7.4,0
2022-07-22,-0.0028436404930438,-0.00284769131989,79.8775155203683,0.1115332526281866,-0.001281971810565,0,0.0,3.0,7.4,0
2022-07-23,0.0,0.0,79.86288670131138,0.1179439913437535,0.000694986422308,0,0.0,4.0,7.4,0
2022-07-24,0.0,0.0,79.84825788225446,0.1219941184512645,-0.0031787278434499,0,0.0,5.0,7.4,1
