data,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-11-12,0.0,0.0,81.45680018833706,0.7976889916735393,-0.018201841720517614,0,0.0,1.0,7.36,0
2022-11-13,0.0,0.0,81.14267185756138,0.6551030656977116,-0.016414024040994686,0,0.0,2.0,7.36,1
2022-11-14,0.00017518156839635424,0.00017516622589719056,80.93152945382255,0.5754729620742333,-0.011156480513202414,0,0.0,3.0,7.36,1
2022-11-15,0.00614923670514278,0.0061304073006653555,80.81238664899554,0.4264651030530948,-0.0043249347325217515,1,0.00614923670514278,4.0,7.36,1
2022-11-16,0.000980426973686166,0.000979946669070898,80.76470184326172,0.3630848083352579,0.007312124166572266,0,0.0,1.0,7.36,1
2022-11-17,0.0052286844834616986,0.005215062375917153,80.78634425571987,0.40540518520946095,0.012579041440204834,1,0.0052286844834616986,2.0,7.36,1
2022-11-18,0.00036323629307255523,0.0003631703387411072,80.93520137241909,0.4626737985885187,0.012946846897660501,0,0.0,1.0,7.36,0
2022-11-19,0.0,0.0,81.0840584891183,0.46051894006428346,0.012769428360776325,0,0.0,2.0,7.36,0
2022-11-20,0.0,0.0,81.23291560581752,0.397976525648839,0.006579731330227831,0,0.0,3.0,7.36,0
2022-11-21,-6.139084707390552e-05,-6.139273156908531e-05,81.37904357910156,0.23861664846720768,0.0055320857680800205,0,0.0,4.0,7.36,1
2022-11-22,0.0025490932314682357,0.0025458498040135925,81.48414393833706,0.19835170463623347,0.002851685753423221,0,0.0,5.0,7.36,0
2022-11-23,-0.00015543006846485685,-0.00015544214896974704,81.57608577183315,0.0998544364964852,0.0023317291855081664,0,0.0,6.0,7.36,0
2022-11-24,-0.0010047104966057763,-0.0010052155565177735,81.59574236188617,0.09471178801127525,0.0013246759761144685,0,0.0,7.0,7.36,1
2022-11-25,0.0002757064229408357,0.00027566842290941833,81.61438533238002,0.09122327392188748,0.0016007476207303415,0,0.0,8.0,7.36,0
2022-11-26,0.0,0.0,81.63302830287388,0.08283763923773395,0.0016622405141574488,0,0.0,9.0,7.36,0
2022-11-27,0.0,0.0,81.65167127336774,0.06776052757064609,-0.0008845977950587801,0,0.0,10.0,7.36,1
2022-11-28,0.0001750953984946957,0.00017508007108455525,81.6730717250279,0.03488982433038286,-0.000554313374068255,0,0.0,11.0,7.36,0
2022-11-29,-0.00023756117807549604,-0.00023758940020190324,81.66201455252511,0.025763008298946635,0.00021318181380620006,0,0.0,12.0,7.36,0
2022-11-30,-0.00023761762679885834,-0.0002376458623400712,81.6500004359654,0.013743014059569526,-0.000300110149394496,0,0.0,13.0,7.36,0
2022-12-01,-0.003988681740544564,-0.003996657747792644,81.60320063999721,0.1318641982877313,-0.004287594846066011,1,0.003988681740544564,14.0,7.29,0
2022-12-02,-0.0017599950754669802,-0.0017615456864453637,81.53274318150112,0.2087002923004004,-0.006040043775718305,0,0.0,1.0,7.29,0
2022-12-03,0.0,0.0,81.46228572300502,0.24112278854236396,-0.006214051122455547,0,0.0,2.0,7.29,0
2022-12-04,0.0,0.0,81.39182826450893,0.24726772582483358,-0.005977910063737214,0,0.0,3.0,7.29,1
2022-12-05,0.0032071540648455077,0.0032020221159539406,81.35651397705078,0.2167356387200678,-0.002552917068748379,1,0.0032071540648455077,4.0,7.29,1
2022-12-06,0.005852208680301452,0.005835151024701555,81.3920429774693,0.2831352762406092,0.007302159137486056,1,0.005852208680301452,1.0,7.29,1
2022-12-07,0.005777822989555537,0.005761195387125324,81.49794333321708,0.46657361509089484,0.014908406507482732,1,0.005777822989555537,1.0,7.29,0
2022-12-08,-0.0014409973279770893,-0.0014420365631033793,81.63340105329242,0.5340818486869333,0.01344592620556393,0,0.0,1.0,7.29,1
2022-12-09,0.0003123976510441828,0.00031234886505814767,81.79297201974052,0.5366942044611653,0.01376252433237088,0,0.0,2.0,7.29,0
2022-12-10,0.0,0.0,81.95254298618862,0.4810660030911885,0.01052162579259591,0,0.0,3.0,7.29,0
2022-12-11,0.0,0.0,82.11211395263672,0.33969826578985846,0.004642249698313856,0,0.0,4.0,7.29,1
2022-12-12,0.0016262229705803488,0.0016249021018294994,82.2536141531808,0.16692332926357029,0.0004953370426803996,0,0.0,5.0,7.29,1
2022-12-13,0.0028114141804920223,0.00280746954724723,82.36014229910714,0.13840783526163325,0.004755994524136661,0,0.0,6.0,7.29,0
2022-12-14,-0.002930650863713913,-0.0029349536296157607,82.36447034563336,0.13931841552105717,0.0014985397096332431,0,0.0,7.0,7.29,1
2022-12-15,0.001280384717230243,0.001279565723728153,82.40082768031529,0.13873982096730186,0.0027808431342058633,0,0.0,8.0,7.29,1
2022-12-16,0.004240792144686534,0.004231825327678605,82.48349979945591,0.2088752554530446,0.007033428256611642,1,0.004240792144686534,9.0,7.29,0
2022-12-17,0.0,0.0,82.56617191859654,0.2281697214026722,0.005398426241272827,0,0.0,1.0,7.29,0
2022-12-18,0.0,0.0,82.64884403773716,0.21106014828771952,0.002579759288933594,0,0.0,2.0,7.29,0
2022-12-19,-0.0015919374981526735,-0.0015932059770565183,82.69355773925781,0.18421652733045832,0.003925871196760198,0,0.0,3.0,7.29,0
2022-12-20,-0.0017418511486884114,-0.0017433699353235769,82.68458666120257,0.18847234524790407,0.0008956502706692845,0,0.0,4.0,7.29,1
2022-12-21,0.0006660091877672691,0.0006657875020725192,82.71807316371373,0.14604817628549893,-0.0026672250279940308,0,0.0,5.0,7.29,1
2022-12-22,0.0029248339824348157,0.0029205649775836643,82.77101571219308,0.12247439170774638,0.00024980776404003887,0,0.0,6.0,7.29,0
2022-12-23,-4.464670372927859e-05,-4.464770042302171e-05,82.77344403948102,0.12463371597787147,0.00020514990721754757,0,0.0,7.0,7.29,0
2022-12-24,0.0,0.0,82.77587236676898,0.126701975338781,0.0017999528177557226,0,0.0,8.0,7.29,0
2022-12-25,0.0,0.0,82.77830069405692,0.12868356077242943,0.003547984026496246,0,0.0,9.0,7.29,0
2022-12-26,-0.0032675481577625343,-0.003272898250881126,82.7608871459961,0.14424710132186147,-0.0003969021871997152,1,0.0032675481577625343,10.0,7.29,1
2022-12-27,0.003617224765483984,0.003610698341608382,82.80674416678292,0.1279682889163862,0.0002931953636653526,1,0.003617224765483984,1.0,7.29,0
2022-12-28,-0.001529506640239875,-0.0015306775295954736,82.82662963867188,0.10612878841503935,-0.001192166243393949,0,0.0,1.0,7.29,1
2022-12-29,0.0009168977114333288,0.0009164776174958816,82.8228291102818,0.10442006690028825,-0.0002763616264608985,0,0.0,2.0,7.29,0
2022-12-30,-0.0002039674289339155,-0.00020398823311891396,82.81714303152901,0.10217146637984702,-0.0004802726866244195,0,0.0,3.0,7.29,0
2022-12-31,0.0,0.0,82.81145695277623,0.09949385190014964,0.0027964128849085417,0,0.0,4.0,7.29,0
2023-01-01,0.0,0.0,82.80577087402344,0.09635146310577118,-0.0008178535205662966,0,0.0,5.0,7.39,0
2023-01-02,-0.001029716058099539,-0.0010302465799021743,82.8265849522182,0.05021902953554888,-0.0003177067160545305,0,0.0,6.0,7.39,0
2023-01-03,-0.0005293106827821692,-0.0005294508171335441,82.79845646449498,0.055241216016350896,-0.0017621312506002765,0,0.0,7.0,7.39,1
